single_frac,task_alpha,single_mass,multi_mass,total_mass,multicellular_pct
0.75,1.961,15,2,19,0.48565068570311
0.75,2.2596,15,2,19,0.470930172676747
0.75,2.6036,15,2,19,0.44535042118123913
0.75,3.0,15,2,19,0.458704932880768
0.7917,0.1,16,2,20,0.8009276973503616
0.7917,0.1152,16,2,20,0.6901204728163783
0.7917,0.1328,16,2,20,0.7009207508180201
0.7917,0.153,16,2,20,0.6741656187731021
0.7917,0.1763,16,2,20,0.6437652733610874
0.7917,0.2031,16,2,20,0.6328566713503632
0.7917,0.234,16,2,20,0.6569412777926976
0.7917,0.2697,16,2,20,0.6639291725014457
0.7917,0.3107,16,2,20,0.602145435343539
0.7917,0.358,16,2,20,0.5507002774330038
0.7917,0.4125,16,2,20,0.6037891438405539
0.7917,0.4754,16,2,20,0.5304033263288868
0.7917,0.5477,16,2,20,0.5597772500122632
0.7917,0.6311,16,2,20,0.5757345399232389
0.7917,0.7272,16,2,20,0.5748432190885513
0.7917,0.8379,16,2,20,0.4993431814199247
0.7917,0.9655,16,2,20,0.4946015351381572
0.7917,1.1125,16,2,20,0.5302811226320087
0.7917,1.2819,16,2,20,0.5561927889293617
0.7917,1.477,16,2,20,0.5550736321606516
0.7917,1.7019,16,2,20,0.575051351158736
0.7917,1.961,16,2,20,0.49735437488716167
0.7917,2.2596,16,2,20,0.4882639397213799
0.7917,2.6036,16,2,20,0.45855867583421106
0.7917,3.0,16,2,20,0.4684926965411735
0.8333,0.1,17,1,19,0.6697184797035147
0.8333,0.1152,17,1,19,0.7395043451636439
0.8333,0.1328,17,1,19,0.5792736565034321
0.8333,0.153,17,1,19,0.7317951620175766
0.8333,0.1763,17,1,19,0.7111529256555164
0.8333,0.2031,17,1,19,0.677335229966809
0.8333,0.234,17,1,19,0.5950471397481772
0.8333,0.2697,17,1,19,0.634243196323735
0.8333,0.3107,17,1,19,0.6704116561516082
0.8333,0.358,17,1,19,0.632513620017503
0.8333,0.4125,17,1,19,0.5957893745070311
0.8333,0.4754,17,1,19,0.5675098463562481
0.8333,0.5477,17,1,19,0.5426329724366764
0.8333,0.6311,17,1,19,0.5540281075410819
0.8333,0.7272,17,1,19,0.5099381498670201
0.8333,0.8379,17,1,19,0.5169010386551024
0.8333,0.9655,17,1,19,0.4937048333115783
0.8333,1.1125,17,1,19,0.4855739120741094
0.8333,1.2819,17,1,19,0.49107435715576275
0.8333,1.477,17,1,19,0.49527329496133704
0.8333,1.7019,17,1,19,0.47510026695087065
0.8333,1.961,17,1,19,0.46867081065489913
0.8333,2.2596,17,1,19,0.4811910374631265
0.8333,2.6036,17,1,19,0.46361624220904224
0.8333,3.0,17,1,19,0.4883242280338724
0.875,0.1,18,1,20,0.7001771253901112
0.875,0.1152,18,1,20,0.7231617949207845
0.875,0.1328,18,1,20,0.6598822230527536
0.875,0.153,18,1,20,0.7291295631756158
0.875,0.1763,18,1,20,0.6703054040522057
0.875,0.2031,18,1,20,0.6810147807811638
0.875,0.234,18,1,20,0.6005802552404863
0.875,0.2697,18,1,20,0.6312148262999716
0.875,0.3107,18,1,20,0.657421128172064
0.875,0.358,18,1,20,0.5910792546113773
0.875,0.4125,18,1,20,0.609731695291314
0.875,0.4754,18,1,20,0.5531422549925681
0.875,0.5477,18,1,20,0.5510241113495963
0.875,0.6311,18,1,20,0.5884641479853455
