tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale
100,116,53,63,19,3.3157894736842106,59,4,50.86206896551724,3.4482758620689653,75.0,15.194956896551743,-0.029625591939247686,0.021184972310790362,0.15426665547910745,0.1330816831683171,0.1750000000000004,0.19099999999999986,0.15292157787207314,0.18254716981132083,0,700,250,100,0.005,,0.1
150,138,53,85,26,3.269230769230769,81,4,58.69565217391305,2.898550724637681,78.98550724637681,20.959891304347856,-0.015779347450588288,0.02686483116670743,0.16803204970975413,0.1411672185430467,0.1750000000000005,0.19099999999999986,0.16676782236073265,0.18254716981132094,0,700,250,100,0.005,,0.1
200,187,53,134,41,3.268292682926829,125,9,66.84491978609626,4.81283422459893,81.81818181818181,21.894331550802168,-0.001996200355586286,0.023382421227197414,0.17160796019900512,0.1482255389718077,0.17500000000000013,0.1687114427860698,0.17003749907180532,0.1720336994273916,0,700,250,100,0.005,,0.1
250,239,52,187,54,3.462962962962963,176,11,73.64016736401673,4.602510460251046,84.93723849372385,24.97861924686192,-0.005379436593404313,0.021638106664252088,0.17000464052879397,0.14836653386454188,0.17499999999999963,0.17315139442231128,0.1687318107250144,0.1741112473184187,0,700,250,100,0.005,,0.1
300,352,49,303,82,3.6951219512195124,290,13,82.38636363636364,3.6931818181818183,89.20454545454545,24.229872159090892,-0.005344544461645978,0.012230250880703286,0.17074971591179622,0.15851946503109293,0.17499999999999918,0.1761162790697683,0.17022498567599048,0.17556953013763646,0,700,250,100,0.005,,0.1
350,540,39,501,131,3.8244274809160306,480,21,88.88888888888889,3.888888888888889,92.03703703703704,22.093222222222202,-0.019075351349940983,0.020792724320886108,0.1629733561460548,0.14218063182516869,0.1749999999999989,0.18595041322314146,0.16210180482721526,0.18117715617715624,0,700,250,100,0.005,,0.1
400,818,27,791,201,3.9353233830845773,765,26,93.52078239608802,3.1784841075794623,94.49877750611248,21.253808068459634,-0.02737748149889857,0.02524163104818475,0.16326702030359408,0.13802538925540933,0.17499999999999868,0.19605263157894867,0.1624373333159167,0.18981481481481527,0,700,250,100,0.005,,0.1
450,1289,16,1273,317,4.0157728706624605,1235,38,95.81070597362296,2.948021722265322,95.81070597362296,19.958622963537604,-0.0396655682041438,0.024516602866420795,0.1610662706873928,0.136549667820972,0.0,0.20000000000000165,0.16033443179585785,0.20000000000000165,0,700,250,100,0.005,,0.1
500,2035,16,2019,499,4.046092184368738,1970,49,96.80589680589681,2.407862407862408,96.80589680589681,19.095434889434863,-0.03942935641063963,0.02685691000410581,0.16122244576380548,0.13436553575969967,0.0,0.20000000000000176,0.16057064358936213,0.20000000000000176,0,700,250,100,0.005,,0.1
550,3027,0,3027,754,4.014588859416445,2968,59,98.05087545424513,1.9491245457548727,98.05087545424513,16.925109018830515,0.1623510391197773,0.024261384442707146,0.16282392371909007,0.13856253927638293,0.0,0.0,0.1623510391197773,0.0,0,700,250,100,0.005,,0.1
