tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha
150,180,51,129,35,3.6857142857142855,125,4,69.44444444444444,2.2222222222222223,83.33333333333333,24.44416666666667,0.09267023612155464,0.14887980132450288,0.2801298013245032,0.13125000000000034,0.17500000000000046,0.19038461538461526,0.27551337337645676,0.18284313725490212,0,500,250,100,0.005,,,0.1
200,240,51,189,52,3.6346153846153846,178,11,74.16666666666667,4.583333333333333,84.16666666666667,28.049687499999997,0.09105746449542149,0.15667633487313154,0.2720935668948413,0.11541723202170978,0.17500000000000018,0.1691772618389535,0.2629748384101617,0.17191737391474024,0,500,250,100,0.005,,,0.1
250,343,46,297,79,3.759493670886076,284,13,82.79883381924198,3.7900874635568513,88.62973760932945,30.74540816326527,0.09609480330908568,0.15858357226520692,0.2794565771272557,0.12087300486204877,0.17499999999999966,0.17751302482378228,0.27251520864426687,0.1764204053351812,0,500,250,100,0.005,,,0.1
300,522,39,483,126,3.8333333333333335,464,19,88.88888888888889,3.6398467432950192,91.7624521072797,30.751599616858194,0.09537436211416228,0.15142855439357925,0.2794319541474599,0.12800339975388067,0.17499999999999924,0.1800387596899233,0.27347513730796097,0.1781007751937987,0,500,250,100,0.005,,,0.1
350,823,25,798,205,3.892682926829268,763,35,92.70959902794654,4.25273390036452,93.43863912515188,29.6644916970433,0.0843358045790071,0.1449133448739311,0.26958212964632144,0.12466878477239036,0.1749999999999989,0.18011904816833116,0.2632262811869385,0.17889047660793142,0,500,250,100,0.005,,,0.1
400,1292,16,1276,320,3.9875,1232,43,95.3560371517028,3.328173374613003,95.3560371517028,29.051768575851355,0.056941354662572524,0.1525969586031295,0.2620877618938952,0.10949080329076571,0.0,0.20000000000000148,0.256941354662574,0.20000000000000148,0,500,250,100,0.005,,,0.1
450,1991,16,1975,490,4.030612244897959,1921,52,96.4841788046208,2.6117528879959817,96.4841788046208,29.38156788883305,0.06121837305687303,0.15212440928237386,0.2652277340719195,0.11310332478954567,0.0,0.20000000000000165,0.2612183730568747,0.20000000000000165,0,500,250,100,0.005,,,0.1
0,100,63,37,13,2.8461538461538463,37,0,37.0,0.0,70.0,0.20850000000000002,0.07230802230802244,0.2540540540540542,0.2540540540540542,0.0,0.17500000000000002,0.18916666666666668,0.2540540540540542,0.18174603174603174,1,500,250,100,0.005,,,0.1
50,111,56,55,19,2.8947368421052633,52,3,46.846846846846844,2.7027027027027026,72.97297297297297,10.54887387387388,0.0952716768525593,0.10879524886877842,0.2837952488687784,0.17499999999999996,0.17499999999999993,0.19074074074074068,0.277860962566845,0.1825892857142857,1,500,250,100,0.005,,,0.1
100,138,56,82,27,3.037037037037037,79,3,57.2463768115942,2.1739130434782608,78.26086956521739,19.51213768115943,0.12141940783799635,0.13390775786439388,0.30890775786439423,0.17500000000000035,0.1750000000000004,0.19074074074074063,0.30400869355228216,0.18258928571428581,1,500,250,100,0.005,,,0.1
150,180,56,124,40,3.1,121,3,67.22222222222223,1.6666666666666667,83.33333333333333,26.27541666666666,0.1272056299020353,0.1381369383175519,0.31313693831755235,0.17500000000000046,0.1750000000000005,0.19074074074074063,0.30979491561632116,0.18258928571428587,1,500,250,100,0.005,,,0.1
200,257,61,196,62,3.161290322580645,191,5,74.31906614785993,1.9455252918287937,85.60311284046692,28.611575875486366,0.15025441544369103,0.147276705477846,0.3222767054778461,0.1750000000000001,0.17500000000000013,0.1621618470149255,0.3185196466646357,0.1682652312209447,1,500,250,100,0.005,,,0.1
